Date,Adj Close,Close,High,Low,Open,Volume
,LGRRX,LGRRX,LGRRX,LGRRX,LGRRX,LGRRX
2025-10-07,28.840970993041992,30.360000610351562,30.360000610351562,30.360000610351562,30.360000610351562,0
2025-10-08,29.116458892822266,30.649999618530273,30.649999618530273,30.649999618530273,30.649999618530273,0
2025-10-09,29.135459899902344,30.670000076293945,30.670000076293945,30.670000076293945,30.670000076293945,0
2025-10-10,28.28049087524414,29.770000457763672,29.770000457763672,29.770000457763672,29.770000457763672,0
2025-10-13,28.79347038269043,30.309999465942383,30.309999465942383,30.309999465942383,30.309999465942383,0
2025-10-14,28.565479278564453,30.06999969482422,30.06999969482422,30.06999969482422,30.06999969482422,0
2025-10-15,28.66997718811035,30.18000030517578,30.18000030517578,30.18000030517578,30.18000030517578,0
2025-10-16,28.62247657775879,30.1299991607666,30.1299991607666,30.1299991607666,30.1299991607666,0
2025-10-17,28.698474884033203,30.209999084472656,30.209999084472656,30.209999084472656,30.209999084472656,0
2025-10-20,28.98346519470215,30.510000228881836,30.510000228881836,30.510000228881836,30.510000228881836,0
2025-10-21,28.992965698242188,30.520000457763672,30.520000457763672,30.520000457763672,30.520000457763672,0
2025-10-22,28.71747398376465,30.229999542236328,30.229999542236328,30.229999542236328,30.229999542236328,0
2025-10-23,28.945465087890625,30.469999313354492,30.469999313354492,30.469999313354492,30.469999313354492,0
2025-10-24,29.06896209716797,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,0
2025-10-27,29.477447509765625,31.030000686645508,31.030000686645508,31.030000686645508,31.030000686645508,0
2025-10-28,29.71493911743164,31.280000686645508,31.280000686645508,31.280000686645508,31.280000686645508,0
2025-10-29,29.58194351196289,31.139999389648438,31.139999389648438,31.139999389648438,31.139999389648438,0
2025-10-30,28.859968185424805,30.3799991607666,30.3799991607666,30.3799991607666,30.3799991607666,0
2025-10-31,29.173458099365234,30.709999084472656,30.709999084472656,30.709999084472656,30.709999084472656,0
2025-11-03,29.2779541015625,30.81999969482422,30.81999969482422,30.81999969482422,30.81999969482422,0
2025-11-04,28.66997718811035,30.18000030517578,30.18000030517578,30.18000030517578,30.18000030517578,0
2025-11-05,28.88846778869629,30.40999984741211,30.40999984741211,30.40999984741211,30.40999984741211,0
2025-11-06,28.308988571166992,29.799999237060547,29.799999237060547,29.799999237060547,29.799999237060547,0
2025-11-07,28.19499397277832,29.68000030517578,29.68000030517578,29.68000030517578,29.68000030517578,0
2025-11-10,28.79347038269043,30.309999465942383,30.309999465942383,30.309999465942383,30.309999465942383,0
2025-11-11,28.831470489501953,30.350000381469727,30.350000381469727,30.350000381469727,30.350000381469727,0
2025-11-12,28.679475784301758,30.190000534057617,30.190000534057617,30.190000534057617,30.190000534057617,0
2025-11-13,28.01449966430664,29.489999771118164,29.489999771118164,29.489999771118164,29.489999771118164,0
2025-11-14,27.97650146484375,29.450000762939453,29.450000762939453,29.450000762939453,29.450000762939453,0
2025-11-17,27.786508560180664,29.25,29.25,29.25,29.25,0
2025-11-18,27.596513748168945,29.049999237060547,29.049999237060547,29.049999237060547,29.049999237060547,0
